Count, j, H1
1, 5499, 2
2, 5500, 2
3, 5517, 2
4, 5520, 2
5, 5523, 2
6, 5527, 2
7, 5528, 2
8, 5538, 2
9, 5539, 2
10, 5549, 2
11, 5567, 2
12, 5572, 2
13, 5600, 2
14, 5624, 2
15, 5648, 2
16, 5663, 2
