Count, j, Group, H1
286, 3872, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((C4 x ((C4 : Q8) : C2)) : C2) :\
 C2) : C3)", 2
287, 3887, "(C5 x C5 x C5 x C5 x C5 x C5) : (((((C2 x C2 x C2) . ((C4 x C2) : \
C4) = (C4 x C2 x C2) . (C4 x C4)) : C2) : C2) : C3)", 2
288, 3891, "(C5 x C5 x C5 x C5 x C5 x C5) : (((((C4 x ((C4 x C4) : C2)) : C2) \
: C2) : C2) : C3)", 2
289, 3916, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x ((C2 x ((C4 x C4) : C2)) :\
 C2)) : C2) : C3)", 2
290, 3942, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x ((C2 x ((C4 x C4) : C2)) :\
 C2)) : C2) : C3)", 2
291, 3979, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((C2 x C2 x C2) . (C2 x C2 x C2 \
x C2 x C2)) : C4) : C3)", 2
292, 4048, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : ((C2 x C2 x C2\
 x C2) : A5)", 2
293, 4050, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : ((C2 x C2 x C2\
 x C2) : A5)", 2
294, 4061, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C2 . ((C2 x C2 x C2 x C2) : A5))\
 : C2)", 2
295, 4062, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C2 . ((C2 x C2 x C2 x C2) : A5))\
 : C2)", 2
296, 4064, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C4 x C2 x C2 x C2 x C2) : A5)", \
2
297, 4065, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C4 x C2 x C2 x C2 x C2) : A5)", \
2
298, 4066, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C2 x C2 x C2 x C2) : A5) :\
 C2)", 2
299, 4067, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C2 . ((C2 x C2 x C2 x C2) : A5))\
 : C2)", 2
300, 4153, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : (C2 x S6)", 2
301, 4157, "C3 : ((C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : (C2 x S6))", \
2
302, 4180, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((((C2 x C2 x C4 x D8) : C2) : C\
2) : C2) : C2) : C3)", 2
303, 4205, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((((C8 x C2) : C8) : C2) : C2) :\
 C4) : C3)", 2
304, 4234, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((((C2 x C2 x C2) . ((C4 x C2) :\
 C4) = (C4 x C2 x C2) . (C4 x C4)) : C2) : C2) : C2) : C3)", 2
305, 4254, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C4 x ((C2 x ((C4 x C4) : C\
2)) : C2)) : C2) : C3)", 2
306, 4257, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((((C8 x C8) : C4) : C2) : C2) :\
 C2) : C3)", 2
307, 4322, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : ((C2 x C2 x C2\
 x C2 x C2) : A5)", 2
308, 4326, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : (C2 x ((C2 x C\
2 x C2 x C2) : A5))", 2
309, 4332, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : (C2 x ((C2 x C\
2 x C2 x C2) : A5))", 2
310, 4334, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C2 . ((C2 x C2 x C2 x C2) : A5))\
 : (C2 x C2))", 2
311, 4343, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C2 x C2 x C2 x C2) : A5) :\
 C2)", 2
312, 4458, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((((C2 x C2 x C2) . ((C4 x C2) :\
 C4) = (C4 x C2 x C2) . (C4 x C4)) : C2) : C2) : C4) : C3)", 2
313, 4469, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x ((((C4 : C8) : C2) : C4) :\
 C2)) : C2) : C3)", 2
314, 4475, "(C5 x C5 x C5 x C5 x C5 x C5) : (((((C8 x C8 x C4) : C2) : C2) : C\
4) : C3)", 2
315, 4485, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C4 x (((C4 : Q8) : C4) : C\
2)) : C2) : C3)", 2
316, 4523, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : (((C2 x C2 x C\
2 x C2 x C2) : A5) : C2)", 2
317, 4677, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C4 x ((((C4 : C8) : C2) : \
C4) : C2)) : C2) : C3)", 2
318, 4832, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : ((C2 x C2 x C2\
 x C2 x C2) : A6)", 2
319, 4844, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((((((C2 x C2 x C2) . ((C4 x C2)\
 : C4) = (C4 x C2 x C2) . (C4 x C4)) : C2) : C2) : C4) : C2) : C2) : C3)", 2
320, 4894, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C4 x C4 x C4 x C4 x C4) : A5)", \
2
321, 4971, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : ((C2 x C2 x C2\
 x C2 x C2) : S6)", 2
322, 5013, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : ((C2 x C2 x C2\
 x C2 x C2) : ((C2 x C2 x C2 x C2) : A5))", 2
323, 5018, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C4 x C4 x C4 x C4) : A5) :\
 C2)", 2
324, 5089, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : ((C2 x C2 x C2\
 x C2) : (((C2 x C2 x C2 x C2 x C2) : A5) : C2))", 2
325, 5120, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C4 x C4 x C4 x C4) : A5) :\
 C4)", 2
326, 5237, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : ((C2 x C2 x C2\
 x C2 x C2 x C2 x C2 x C2 x C2) : A6)", 2
327, 5307, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : (((C2 x C2 x C\
2 x C2 x C2 x C2 x C2 x C2 x C2) : A6) : C2)", 2
328, 5310, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : (((C2 x C2 x C\
2 x C2 x C2 x C2 x C2 x C2 x C2) : A6) : C2)", 2
329, 5311, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : ((C2 x C2 x C2\
 x C2 x C2 x C2 x C2 x C2 x C2) : S6)", 2
330, 5353, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : (((C2 x C2 x C\
2 x C2 x C2 x C2 x C2 x C2 x C2) : A6) : (C2 x C2))", 2
331, 5436, "(A5 x A5 x A5 x A5 x A5 x A5) : A4", 2
332, 5440, "(A5 x A5 x A5 x A5 x A5 x A5) : A4", 2
333, 5452, "(A5 x A5 x A5 x A5 x A5 x A5) : (C2 x A4)", 2
334, 5462, "(A5 x A5 x A5 x A5 x A5 x A5) : (C2 x A4)", 2
335, 5482, "(A5 x A5 x A5 x A5 x A5 x A5) : ((C4 x C4) : C3)", 2
336, 5490, "(A5 x A5 x A5 x A5 x A5 x A5) : ((C2 x C2 x C2 x C2) : C3)", 2
