Count, j, Group, H1
1, 7, "C7 x A4", 2
2, 8, "(C14 x C2) : C3", 2
3, 28, "D14 x A4", 2
4, 31, "C7 : (C2 x A4)", 2
5, 37, "PSL(3,2)", 2
6, 39, "(C7 : C3) x A4", 2
7, 53, "C2 x ((C7 x C7) : C3)", 7
8, 56, "(C7 x C7) : S3", 7
9, 63, "(C7 x C7) : C6", 7
10, 64, "(C7 : C3) x D14", 7
11, 86, "C7 x A5", 2
12, 90, "(C7 : C6) x A4", 2
13, 104, "(C2 x C2) : ((C7 x C7) : C3)", 14
14, 105, "C7 x ((C14 x C2) : C3)", 2
15, 107, "C2 x ((C7 x C7) : S3)", 7
16, 139, "D14 x A5", 2
17, 176, "PSL(2,13)", 2
18, 177, "C2 x ((C2 x C2) : ((C7 x C7) : C3))", 7
19, 179, "(C7 x C7) : (C2 x A4)", 2
20, 181, "(C7 x C7) : S4", 7
21, 182, "(C7 x C7) : S4", 7
22, 185, "(C7 x C7) : (C2 x A4)", 2
23, 197, "(C7 : C3) x A5", 2
24, 219, "(C2 x C2) : ((C7 : C3) x (C7 : C3))", 2
25, 261, "PSL(3,2) x A4", 2
26, 286, "C2 x ((C7 x C7) : S4)", 7
27, 297, "(C7 : C6) x A5", 2
28, 334, "C3 x PSL(2,13)", 2
29, 335, "C3 x PSL(2,13)", 2
30, 337, "(C7 x C7) : (C6 x A4)", 2
31, 386, "C7 x ((C2 x C2) : ((C7 x C7) : C3))", 2
32, 390, "(C7 x C7 x C7) : A4", 2
33, 391, "(C7 x C7 x C7) : A4", 2
34, 406, "(C7 x C7 x C7) : A4", 2
35, 407, "(C7 x C7 x C7) : A4", 2
36, 482, "PSL(2,13) x S3", 2
37, 526, "(C7 x C7 x C7) : (C2 x A4)", 2
38, 534, "(C7 x C7 x C7) : (C2 x A4)", 2
39, 535, "(C7 x C7 x C7) : (C2 x A4)", 2
40, 545, "(C7 x C7 x C7) : (C2 x A4)", 2
41, 546, "(C7 x C7 x C7) : (C2 x A4)", 2
42, 552, "PSL(3,2) x A5", 2
43, 622, "(C2 x C2) : ((C7 x C7 x C7) : (C3 x C3))", 2
44, 623, "(C2 x C2) : ((C7 x C7 x C7) : C9)", 2
45, 628, "(C7 x C7 x C7) : (C3 x A4)", 2
46, 629, "(C7 x C7 x C7) : (C3 x A4)", 2
47, 630, "(C7 x C7 x C7) : ((C2 x C2) : C9)", 2
48, 631, "(C7 x C7 x C7) : ((C2 x C2) : C9)", 2
49, 632, "(C7 x C7 x C7) : ((C2 x C2) : C9)", 2
50, 644, "(C7 x C7 x C7) : (C3 x A4)", 2
51, 645, "(C7 x C7 x C7) : ((C2 x C2) : C9)", 2
52, 695, "(C7 x C7 x C7) : ((C2 x C2 x C2 x C2) : C3)", 2
53, 784, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : C9))", 2
54, 786, "(C7 x C7 x C7) : (C6 x A4)", 2
55, 800, "(C7 x C7 x C7) : (C6 x A4)", 2
56, 802, "(C7 x C7 x C7) : (C6 x A4)", 2
57, 805, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : C9))", 2
58, 807, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : C9))", 2
59, 809, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : C9))", 2
60, 815, "(C7 x C7 x C7) : (C6 x A4)", 2
61, 816, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : C9))", 2
62, 839, "C7 x ((C7 x C7 x C7) : A4)", 2
63, 840, "(C7 x C7 x C7 x C7) : A4", 2
64, 841, "A7 x A4", 2
