Count, j, Group, H1
65, 903, "(C7 x C7 x C7) : (C2 x ((C2 x C2 x C2 x C2) : C3))", 2
66, 911, "PSL(2,41)", 2
67, 912, "(C2 x C2) : ((C7 x C7 x C7) : ((C3 x C3) : C3))", 2
68, 913, "(C2 x C2) : ((C7 x C7 x C7) : (C9 : C3))", 2
69, 921, "(C7 x C7 x C7) : ((C2 x C2) : (C9 : C3))", 2
70, 922, "(C7 x C7 x C7) : ((C2 x C2) : (C9 : C3))", 2
71, 923, "(C7 x C7 x C7) : ((C2 x C2) : (C9 : C3))", 2
72, 924, "(C7 x C7 x C7) : ((C2 x C2) : ((C3 x C3) : C3))", 2
73, 925, "(C7 x C7 x C7) : ((C2 x C2) : ((C3 x C3) : C3))", 2
74, 974, "(C7 x C7 x C7) : (C3 x ((C2 x C2 x C2 x C2) : C3))", 2
75, 975, "(C7 x C7 x C7) : ((C2 x C2 x C2 x C2) : C9)", 2
76, 1014, "(C7 x C7 x C7 x C7) : (C2 x A4)", 2
77, 1015, "(C7 x C7 x C7 x C7) : (C2 x A4)", 2
78, 1025, "S7 x A4", 2
79, 1098, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : ((C3 x C3) : C3)))", 2
80, 1104, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : (C9 : C3)))", 2
81, 1116, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : ((C3 x C3) : C3)))", 2
82, 1118, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : ((C3 x C3) : C3)))", 2
83, 1122, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : (C9 : C3)))", 2
84, 1125, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : (C9 : C3)))", 2
85, 1126, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : (C9 : C3)))", 2
86, 1133, "(C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C3)", 7
87, 1189, "(C7 x C7 x C7 x C7) : (C3 x A4)", 2
88, 1235, "(C7 x C7 x C7) : (C6 x ((C2 x C2 x C2 x C2) : C3))", 2
89, 1238, "(C7 x C7 x C7) : (C2 x ((C2 x C2 x C2 x C2) : C9))", 2
90, 1249, "(C2 x C2) : ((C7 x C7 x C7) : ((C3 x C3 x C3) : C3))", 2
91, 1253, "(C7 x C7 x C7) : ((C2 x C2) : ((C3 x C3 x C3) : C3))", 2
92, 1254, "(C7 x C7 x C7) : ((C2 x C2) : ((C3 x C3 x C3) : C3))", 2
93, 1293, "(C3 x C3 x C3 x C3 x C3 x C3) : PSL(3,2)", 3
94, 1321, "(C7 x C7 x C7) : ((C2 x C2 x C2 x C2) : (C9 : C3))", 2
95, 1322, "(C7 x C7 x C7) : ((C2 x C2 x C2 x C2) : ((C3 x C3) : C3))", 2
96, 1341, "C2 x ((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C\
3))", 7
97, 1345, "A7 x A5", 2
98, 1393, "(C7 x C7 x C7 x C7) : (C6 x A4)", 2
99, 1459, "(C7 x C7 x C7 x C7 x C7) : A4", 2
100, 1460, "C7 x ((C7 x C7 x C7 x C7) : A4)", 2
101, 1464, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : ((C3 x C3 x C3) : C3)))", 2
102, 1477, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : ((C3 x C3 x C3) : C3)))", 2
103, 1478, "(C7 x C7 x C7) : (C2 x ((C2 x C2) : ((C3 x C3 x C3) : C3)))", 2
104, 1563, "(C7 x C7 x C7) : (C2 x ((C2 x C2 x C2 x C2) : ((C3 x C3) : C3)))",\
 2
105, 1567, "(C7 x C7 x C7) : (C2 x ((C2 x C2 x C2 x C2) : (C9 : C3)))", 2
106, 1573, "(C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C7 x C7\
) : C3)", 7
107, 1577, "S7 x A5", 2
108, 1641, "C3 x ((C3 x C3 x C3 x C3 x C3 x C3) : PSL(3,2))", 3
109, 1646, "(C7 x C7 x C7 x C7 x C7) : (C2 x A4)", 2
110, 1647, "(C7 x C7 x C7 x C7 x C7) : (C2 x A4)", 2
111, 1659, "(C7 x C7 x C7) : ((C2 x C2 x C2 x C2) : ((C3 x C3 x C3) : C3))", 2
112, 1759, "C2 x ((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C\
7 x C7) : C3))", 7
113, 1770, "(C7 x C7 x C7 x C7 x C7) : (C3 x A4)", 2
114, 1866, "(C7 x C7 x C7) : (C2 x ((C2 x C2 x C2 x C2) : ((C3 x C3 x C3) : C3\
)))", 2
115, 1908, "(C7 x C7 x C7 x C7 x C7) : A5", 2
116, 1948, "(C7 x C7 x C7 x C7 x C7) : (C6 x A4)", 2
117, 1992, "C7 x ((C7 x C7 x C7 x C7 x C7) : A4)", 2
118, 1993, "(C7 x C7 x C7 x C7 x C7 x C7) : A4", 2
119, 2140, "(C7 x C7 x C7 x C7 x C7) : (C2 x A5)", 2
120, 2185, "(C3 x C3 x C3 x C3 x C3 x C3 x C3) : PSL(2,13)", 2
121, 2215, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x A4)", 2
122, 2216, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x A4)", 2
123, 2245, "(C7 x C7 x C7 x C7 x C7) : GL(2,4)", 2
124, 2379, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x A4)", 2
125, 2380, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x A4)", 2
126, 2381, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2) : C9)", 2
127, 2382, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2) : C9)", 2
128, 2397, "(C3 x C3 x C3 x C3 x C3 x C3 x C3) : (C2 x PSL(2,13))", 2
129, 2423, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C4 x C4) : C3)", 2
130, 2424, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2 x C2 x C2) : C3)", 2
131, 2511, "(C7 x C7 x C7 x C7 x C7) : (C6 x A5)", 2
132, 2533, "C7 x ((C7 x C7 x C7 x C7 x C7) : A5)", 2
133, 2534, "(C7 x C7 x C7 x C7 x C7 x C7) : A5", 2
134, 2593, "(C7 x C7 x C7 x C7 x C7 x C7) : (C6 x A4)", 2
135, 2594, "(C7 x C7 x C7 x C7 x C7 x C7) : (C6 x A4)", 2
136, 2595, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2) : C9))", 2
137, 2596, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2) : C9))", 2
138, 2657, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C4 x C4) : C3))", 2
139, 2658, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2 x C2 x C2) : C3))"\
, 2
140, 2659, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C2) : C4) : C3)", 2
141, 2660, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C4) : C2) : C3)", 2
142, 2661, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x C2 x C2 x C2) : C2) : C3)"\
, 2
143, 2753, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2) : ((C3 x C3) : C3))", 2
144, 2754, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2) : ((C3 x C3) : C3))", 2
145, 2755, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2) : (C9 : C3))", 2
146, 2756, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2) : (C9 : C3))", 2
147, 2777, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x A5)", 2
148, 2778, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x A5)", 2
149, 2842, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x ((C4 x C4) : C3))", 2
150, 2843, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x ((C2 x C2 x C2 x C2) : C3))"\
, 2
151, 2844, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2 x C2 x C2) : C9)", 2
152, 2845, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C4 x C4) : C9)", 2
153, 2904, "(C7 x C7 x C7 x C7 x C7 x C7) : GL(2,4)", 2
154, 2905, "(C7 x C7 x C7 x C7 x C7 x C7) : GL(2,4)", 2
155, 2945, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C4 x C4) : C2) : C3))", 2
156, 2946, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C2 x C2 x C2 x C2) : C2) \
: C3))", 2
157, 2947, "(C7 x C7 x C7 x C7 x C7 x C7) : ((((C4 x C2) : C4) : C2) : C3)", 2
158, 3027, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2) : ((C3 x C3) : C3\
)))", 2
159, 3028, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2) : ((C3 x C3) : C3\
)))", 2
160, 3029, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2) : (C9 : C3)))", 2
161, 3030, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2) : (C9 : C3)))", 2
162, 3138, "(C7 x C7 x C7 x C7 x C7 x C7) : (C6 x ((C4 x C4) : C3))", 2
163, 3139, "(C7 x C7 x C7 x C7 x C7 x C7) : (C6 x ((C2 x C2 x C2 x C2) : C3))"\
, 2
164, 3140, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x (((C4 x C2) : C4) : C3))", 2
165, 3141, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2 x C2 x C2) : C9))"\
, 2
166, 3142, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C4 x C4) : C9))", 2
167, 3143, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C2) : C4) : C9)", 2
168, 3144, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C2) : C4) : C9)", 2
169, 3145, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x (((C4 x C4) : C2) : C3))", 2
170, 3146, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x (((C2 x C2 x C2 x C2) : C2) \
: C3))", 2
171, 3147, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C4) : C2) : C9)", 2
172, 3148, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x C2 x C2 x C2) : C2) : C9)"\
, 2
173, 3216, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2) : ((C3 x C3 x C3) : C3)\
)", 2
174, 3217, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2) : ((C3 x C3 x C3) : C3)\
)", 2
175, 3218, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C3 x C3 x C3) : (C2 x C2)) : C3\
)", 2
176, 3219, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C3 x C3 x C3) : (C2 x C2)) : C3\
)", 2
177, 3240, "(C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x \
C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C3)", 7
178, 3253, "(C7 x C7 x C7 x C7 x C7 x C7) : (C6 x A5)", 2
179, 3254, "(C7 x C7 x C7 x C7 x C7 x C7) : (C6 x A5)", 2
180, 3292, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x ((C2 x C2 x C2 x C2) : C2)\
) : C2) : C3)", 2
181, 3385, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2 x C2 x C2) : ((C3 x C3) \
: C3))", 2
182, 3386, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2 x C2 x C2) : (C9 : C3))"\
, 2
183, 3387, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C4 x C4) : ((C3 x C3) : C3))", 2
184, 3388, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C4 x C4) : (C9 : C3))", 2
185, 3418, "(C2 x C2) : ((PSL(3,2) x PSL(3,2) x PSL(3,2)) : C3)", 2
186, 3423, "(PSL(3,2) x PSL(3,2) x PSL(3,2)) : A4", 2
187, 3497, "(C7 x C7 x C7 x C7 x C7 x C7) : (C6 x (((C4 x C4) : C2) : C3))", 2
188, 3498, "(C7 x C7 x C7 x C7 x C7 x C7) : (C6 x (((C2 x C2 x C2 x C2) : C2) \
: C3))", 2
189, 3499, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x ((((C4 x C2) : C4) : C2) : C\
3))", 2
190, 3500, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C2 x C2 x C2 x C2) : C2) \
: C9))", 2
191, 3501, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C4 x C4) : C2) : C9))", 2
192, 3502, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x (C4 : C4)) : C2) : C9)", 2
193, 3503, "(C7 x C7 x C7 x C7 x C7 x C7) : ((((C4 x C2) : C4) : C2) : C9)", 2
194, 3594, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2) : ((C3 x C3 x C3)\
 : C3)))", 2
195, 3595, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2) : ((C3 x C3 x C3)\
 : C3)))", 2
196, 3596, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C3 x C3 x C3) : (C2 x C2)\
) : C3))", 2
197, 3597, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C3 x C3 x C3) : (C2 x C2)\
) : C3))", 2
198, 3635, "C2 x ((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x\
 C2 x C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C3))", 7
199, 3639, "((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x\
 C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C3)) : C2", 7
200, 3640, "((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x\
 C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C3)) : C2", 7
201, 3681, "(C7 x C7 x C7 x C7 x C7 x C7) : ((((C4 x ((C4 x C2) : C2)) : C2) :\
 C2) : C3)", 2
202, 3739, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2 x C2 x C2) : ((C3 \
x C3) : C3)))", 2
203, 3740, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2 x C2 x C2) : (C9 :\
 C3)))", 2
204, 3741, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C4 x C4) : ((C3 x C3) : C3\
)))", 2
205, 3742, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C4 x C4) : (C9 : C3)))", 2
206, 3743, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C2) : C4) : ((C3 x C3) : C\
3))", 2
207, 3744, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C2) : C4) : (C9 : C3))", 2
208, 3745, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C2) : C4) : (C9 : C3))", 2
209, 3746, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x C2 x C2 x C2) : C2) : ((C3\
 x C3) : C3))", 2
210, 3747, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C4) : C2) : ((C3 x C3) : C\
3))", 2
211, 3748, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C4) : C2) : (C9 : C3))", 2
212, 3749, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x C2 x C2 x C2) : C2) : (C9 \
: C3))", 2
213, 3815, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x (((C3 x C3 x C3) : (C2 x C2)\
) : C3))", 2
214, 3816, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x (((C3 x C3 x C3) : (C2 x C2)\
) : C3))", 2
215, 3817, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C3 x C3 x C3) : (C2 x C2)) : C9\
)", 2
216, 3818, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C3 x C3 x C3) : (C2 x C2)) : C9\
)", 2
217, 3899, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x (((C2 x ((C2 x C2 x C2 x C2)\
 : C2)) : C2) : C3))", 2
218, 3900, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x ((C2 x C2 x C2 x C2) : C2)\
) : C2) : C9)", 2
219, 3980, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2 x C2 x C2) : ((C3 x C3 x\
 C3) : C3))", 2
220, 3981, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C4 x C4) : ((C3 x C3 x C3) : C3)\
)", 2
221, 3982, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2 x ((C3 x C3 x C3) : (C2 \
x C2))) : C3)", 2
222, 3983, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C3 x C3 x C3) : (C4 x C4)) : C3\
)", 2
223, 4012, "(C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x \
C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C3)", 7
224, 4015, "C2 x (((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 \
x C2 x C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C3)) : C2)", 7
225, 4103, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C2 x C2 x C2 x C2) : C2) \
: ((C3 x C3) : C3)))", 2
226, 4104, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C2 x C2 x C2 x C2) : C2) \
: (C9 : C3)))", 2
227, 4105, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C4 x C4) : C2) : ((C3 x C\
3) : C3)))", 2
228, 4106, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C4 x C4) : C2) : (C9 : C3\
)))", 2
229, 4107, "(C7 x C7 x C7 x C7 x C7 x C7) : ((((C4 x C2) : C4) : C2) : ((C3 x \
C3) : C3))", 2
230, 4108, "(C7 x C7 x C7 x C7 x C7 x C7) : ((((C4 x C2) : C4) : C2) : (C9 : C\
3))", 2
231, 4109, "(C7 x C7 x C7 x C7 x C7 x C7) : ((((C4 x C2) : C4) : C2) : (C9 : C\
3))", 2
232, 4170, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2 x C2 x C2 x C2) : A5)", \
2
233, 4217, "(C7 x C7 x C7 x C7 x C7 x C7) : (C6 x (((C3 x C3 x C3) : (C2 x C2)\
) : C3))", 2
234, 4218, "(C7 x C7 x C7 x C7 x C7 x C7) : (C6 x (((C3 x C3 x C3) : (C2 x C2)\
) : C3))", 2
235, 4219, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C3 x C3 x C3) : (C2 x C2)\
) : C9))", 2
236, 4220, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C3 x C3 x C3) : (C2 x C2)\
) : C9))", 2
237, 4310, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x (((C2 x C2 x ((C2 x C2 x C2 \
x C2) : C2)) : C2) : C3))", 2
238, 4311, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x C2 x ((C2 x C2 x C2 x C2) \
: C2)) : C2) : C9)", 2
239, 4372, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x C2 x C2 x C2) : C2) : ((C3\
 x C3 x C3) : C3))", 2
240, 4373, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2 x ((C3 x C3 x C3) \
: (C2 x C2))) : C3))", 2
241, 4374, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C3 x C3 x C3) : (C4 x C4)\
) : C3))", 2
242, 4375, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C3 x C3 x C3) : ((C4 x C2) : C4\
)) : C3)", 2
243, 4376, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C2 x C2 x C2 x C2) : ((C3 \
x C3 x C3) : C3)))", 2
244, 4377, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x ((C4 x C4) : ((C3 x C3 x C3)\
 : C3)))", 2
245, 4378, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C2) : C4) : ((C3 x C3 x C3\
) : C3))", 2
246, 4379, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C4 x C4) : C2) : ((C3 x C3 x C3\
) : C3))", 2
247, 4380, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C3 x C3 x C3) : ((C2 x C2 x C2 \
x C2) : C2)) : C3)", 2
248, 4381, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C3 x C3 x C3) : ((C4 x C4) : C2\
)) : C3)", 2
249, 4413, "C2 x ((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x\
 C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C3))", 7
250, 4417, "((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x\
 C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C3)) : C2", 7
251, 4418, "((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x\
 C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C7 x C7) : C3)) : C2", 7
252, 4469, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C3 x (((C3 x C3 x C3) : (C2 x C2\
)) : C3)) : C3)", 2
253, 4470, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C3 x (((C3 x C3 x C3) : (C2 x C2\
)) : C3)) : C3)", 2
254, 4471, "(C7 x C7 x C7 x C7 x C7 x C7) : ((((C3 x C3 x C3) : (C2 x C2)) : C\
9) : C3)", 2
255, 4472, "(C7 x C7 x C7 x C7 x C7 x C7) : ((((C3 x C3 x C3) : (C2 x C2)) : C\
9) : C3)", 2
256, 4551, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x ((C2 x C2 x C2 x C2) : C2)\
) : C2) : ((C3 x C3) : C3))", 2
257, 4552, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x ((C2 x C2 x C2 x C2) : C2)\
) : C2) : (C9 : C3))", 2
258, 4606, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C2 x C2 x C2 x C2 x C2) : A5) :\
 C2)", 2
259, 4656, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x ((C2 x C2 x ((C3 x C3 x C3) \
: (C2 x C2))) : C3))", 2
260, 4657, "(C7 x C7 x C7 x C7 x C7 x C7) : ((C2 x C2 x ((C3 x C3 x C3) : (C2 \
x C2))) : C9)", 2
261, 4658, "(C7 x C7 x C7 x C7 x C7 x C7) : (C3 x (((C3 x C3 x C3) : (C4 x C4)\
) : C3))", 2
262, 4659, "(C7 x C7 x C7 x C7 x C7 x C7) : (((C3 x C3 x C3) : (C4 x C4)) : C9\
)", 2
263, 4807, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C2 x C2 x C2 x C2) : C2) \
: ((C3 x C3 x C3) : C3)))", 2
264, 4808, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C4 x C4) : C2) : ((C3 x C\
3 x C3) : C3)))", 2
265, 4809, "(C7 x C7 x C7 x C7 x C7 x C7) : ((((C4 x C2) : C4) : C2) : ((C3 x \
C3 x C3) : C3))", 2
266, 4810, "(C7 x C7 x C7 x C7 x C7 x C7) : (C2 x (((C3 x C3 x C3) : ((C2 x C2\
 x C2 x C2) : C2)) : C3))", 2
